loja,club,marca_1,marca_2,marca_3,regiao,canal,localizacao,numero_empregados,aporte_inicial,modelo_arquitetonico,tem_estoque_proprio,usa_despachante,legado_familia,sistema_1,sistema_2,sistema_3,sistemas_4,sistema_5,sistema_6,faturamento_ultimo_ano,maturidade_processo
2621,OURO,S,N,N,5,VD,BAIRRO,9,669402,2,N,S,S,S,N,N,N,N,S,B,BAIXA
2622,DIAMANTE,S,S,N,1,LJ,CENTRO,15,727243,1,S,N,S,S,S,N,N,N,S,C,MÉDIA
2623,DIAMANTE,S,S,S,1,VD,RUA_FAMOSA,23,890873,1,N,S,S,N,S,N,S,N,S,A,ALTA
2624,DIAMANTE,S,S,S,3,VD,CENTRO,22,651827,1,S,S,S,S,S,S,N,N,N,B,ALTA
2625,BRONZE,N,N,S,5,VD,CENTRO,19,111449,4,N,S,S,S,N,S,S,S,N,B,BAIXA
2626,OURO,S,S,N,1,BO,RUA_FAMOSA,9,394918,3,S,S,N,S,N,S,S,N,N,C,ALTA
2627,PRATA,N,N,S,2,LJ,BAIRRO,9,430434,3,N,S,N,S,N,N,N,N,N,D,BAIXA
2628,OURO,S,N,S,2,BO,CENTRO,12,844253,4,N,N,N,S,S,N,S,N,S,B,ALTA
2629,BRONZE,N,N,S,1,VD,SHOPPING,19,194266,4,S,N,S,N,S,N,S,S,N,C,BAIXA
2630,OURO,S,N,S,1,VD,BAIRRO,10,529128,2,S,N,S,S,S,S,S,N,N,A,INEXISTENTE
2631,DIAMANTE,S,S,S,3,LJ,BAIRRO,17,988059,1,S,S,S,S,S,N,S,N,N,B,ALTA
2632,OURO,S,S,S,3,BO,CENTRO,14,749446,2,N,S,N,S,S,N,S,S,N,B,ALTA
2633,DIAMANTE,S,S,N,3,LJ,RUA_FAMOSA,23,768355,1,S,S,S,S,S,N,S,S,N,C,ALTA
2634,DIAMANTE,S,S,N,3,LJ,CENTRO,10,712188,1,S,N,S,S,S,N,N,N,N,C,ALTA
2635,DIAMANTE,S,S,S,4,VD,RUA_FAMOSA,17,577235,1,S,S,S,S,S,N,N,N,N,B,MÉDIA
2636,DIAMANTE,S,S,N,2,LJ,RUA_FAMOSA,11,725234,1,S,N,S,S,S,S,N,S,S,B,ALTA
2637,BRONZE,N,S,S,4,VD,CENTRO,19,298003,4,S,N,N,S,S,S,S,S,N,B,BAIXA
2638,OURO,S,S,S,2,BO,BAIRRO,10,766718,3,S,N,N,S,S,S,S,N,N,B,INEXISTENTE
2639,PRATA,N,S,N,4,LJ,BAIRRO,4,987280,3,S,S,N,N,S,S,S,S,N,B,INEXISTENTE
2640,PRATA,S,S,S,3,VD,RUA_FAMOSA,9,947250,4,N,N,N,N,N,N,S,S,N,C,INEXISTENTE
2641,PRATA,S,N,S,2,BO,RUA_FAMOSA,8,522142,4,N,S,N,S,N,S,S,N,N,B,ALTA
2642,DIAMANTE,S,S,S,2,VD,CENTRO,11,951112,1,N,N,S,S,S,S,S,N,N,A,ALTA
2643,BRONZE,S,S,N,1,LJ,CENTRO,20,254446,4,S,S,S,N,N,S,S,S,N,D,INEXISTENTE
2644,PRATA,N,N,S,2,BO,RUA_FAMOSA,9,590492,3,N,S,N,S,S,N,S,N,N,D,ALTA
2645,PRATA,N,N,S,4,BO,RUA_FAMOSA,4,426795,4,N,N,N,S,N,N,S,N,N,C,ALTA
2646,OURO,S,N,N,2,LJ,SHOPPING,12,649192,2,S,S,N,S,N,S,N,N,N,C,ALTA
2647,BRONZE,N,N,N,2,BO,CENTRO,22,263037,4,S,S,N,S,N,S,N,N,N,C,INEXISTENTE
2648,PRATA,N,S,S,2,BO,CENTRO,6,979730,4,N,N,N,N,S,N,N,S,N,D,BAIXA
2649,OURO,S,S,S,5,VD,SHOPPING,8,405559,4,S,N,S,S,N,N,S,S,N,C,MÉDIA
2650,OURO,S,S,S,6,LJ,BAIRRO,11,414950,3,S,N,N,S,N,S,N,S,N,B,MÉDIA
2651,DIAMANTE,S,S,S,2,LJ,CENTRO,9,970422,1,N,S,S,S,S,N,S,S,N,C,MÉDIA
2652,DIAMANTE,S,S,S,2,VD,RUA_FAMOSA,28,711781,1,N,N,S,S,S,N,N,N,N,A,ALTA
2653,BRONZE,S,N,N,2,LJ,BAIRRO,25,282882,4,S,N,S,S,S,S,N,S,N,C,MÉDIA
2654,BRONZE,S,S,S,4,VD,BAIRRO,20,101075,4,N,S,N,S,S,N,N,S,N,C,MÉDIA
2655,BRONZE,S,S,N,4,LJ,RURAL,16,202362,4,N,N,S,N,S,S,S,S,N,A,INEXISTENTE
2656,BRONZE,N,S,S,3,BO,CENTRO,23,133462,4,S,S,N,S,N,N,N,S,N,D,BAIXA
2657,BRONZE,N,N,N,4,BO,CENTRO,16,259145,4,S,S,N,N,N,N,N,N,N,D,INEXISTENTE
2658,PRATA,N,N,N,,BO,BAIRRO,9,485559,3,N,S,N,S,N,N,S,S,N,D,ALTA
2659,BRONZE,S,N,S,,BO,BAIRRO,21,211090,4,N,S,S,S,S,S,S,N,N,A,ALTA
2660,PRATA,S,N,N,,BO,RUA_FAMOSA,5,951009,3,N,S,N,S,N,N,N,S,N,C,INEXISTENTE
2661,BRONZE,N,N,N,,LJ,BAIRRO,18,206251,4,S,N,N,S,N,N,N,N,N,D,BAIXA
2662,OURO,S,N,S,,LJ,RURAL,9,669829,2,N,N,N,S,N,S,S,N,S,A,ALTA
2663,BRONZE,S,N,N,,VD,RUA_FAMOSA,23,205444,4,S,S,S,S,N,N,N,N,N,D,BAIXA
2664,OURO,S,N,S,,LJ,BAIRRO,8,612688,4,S,S,S,S,S,N,S,N,S,A,MÉDIA
2665,OURO,S,S,N,,LJ,RURAL,15,469907,3,N,N,N,S,N,N,S,S,S,C,INEXISTENTE
2666,BRONZE,S,S,S,,LJ,CENTRO,20,246717,4,N,S,N,N,N,S,S,N,N,D,INEXISTENTE
2667,PRATA,S,S,S,,BO,RUA_FAMOSA,6,965531,4,S,N,N,S,S,S,S,S,N,D,BAIXA
2668,DIAMANTE,S,S,N,,VD,BAIRRO,14,741112,1,S,N,S,N,S,S,N,S,N,A,ALTA
2669,BRONZE,S,N,N,,VD,RURAL,17,143333,4,N,N,N,S,S,N,S,S,N,B,INEXISTENTE
2670,DIAMANTE,S,S,S,3,BO,SHOPPING,8,840066,1,N,S,S,S,S,N,N,S,N,A,MÉDIA
2671,PRATA,N,S,N,2,VD,BAIRRO,9,591317,4,N,S,N,N,N,N,N,N,N,D,INEXISTENTE
2672,OURO,S,N,S,4,BO,RUA_FAMOSA,7,629494,4,N,N,N,S,N,S,N,N,S,A,MÉDIA
2673,DIAMANTE,S,S,S,1,VD,BAIRRO,18,873937,1,N,S,S,S,S,S,S,S,N,A,ALTA
2674,DIAMANTE,S,S,S,3,LJ,BAIRRO,11,635689,1,S,N,S,S,S,N,S,S,N,B,MÉDIA
2675,PRATA,N,N,N,3,BO,RUA_FAMOSA,6,839930,4,N,S,N,S,S,N,N,N,N,C,INEXISTENTE
2676,BRONZE,N,S,S,,LJ,BAIRRO,25,216876,4,N,S,N,S,N,N,S,N,N,C,BAIXA
2677,OURO,S,S,N,2,VD,BAIRRO,13,662030,2,S,N,N,S,S,S,S,N,S,D,ALTA
2678,DIAMANTE,S,S,N,3,VD,BAIRRO,17,745871,1,S,N,S,N,S,N,N,S,S,A,MÉDIA
2679,PRATA,S,N,S,2,LJ,BAIRRO,9,442293,4,S,S,N,N,S,S,S,S,N,D,INEXISTENTE
2680,BRONZE,N,S,N,,VD,CENTRO,25,101931,4,N,S,S,N,S,N,N,S,N,C,MÉDIA
2681,OURO,S,S,S,1,LJ,SHOPPING,11,472171,2,S,,N,S,S,S,S,N,N,A,BAIXA
2682,DIAMANTE,S,S,S,,BO,RUA_FAMOSA,24,737676,1,N,N,S,S,S,S,S,N,S,A,BAIXA
2683,BRONZE,S,S,N,2,VD,BAIRRO,25,212073,4,N,S,N,N,S,S,N,N,N,D,INEXISTENTE
2684,OURO,S,S,N,3,VD,RUA_FAMOSA,7,413622,3,N,N,S,S,S,S,S,S,S,A,MÉDIA
2685,BRONZE,N,S,S,3,LJ,BAIRRO,15,134444,4,N,N,N,S,S,N,S,S,N,D,INEXISTENTE
2686,PRATA,N,S,N,4,LJ,RUA_FAMOSA,5,877238,4,N,S,N,S,N,S,S,N,N,D,BAIXA
2687,BRONZE,S,S,S,2,BO,CENTRO,23,147588,4,S,N,N,N,N,S,S,N,N,C,BAIXA
2688,BRONZE,N,N,N,1,LJ,RUA_FAMOSA,18,244008,4,S,,S,S,S,N,N,N,N,D,MÉDIA
2689,BRONZE,N,N,N,4,LJ,RUA_FAMOSA,19,173846,4,N,S,S,S,S,N,N,N,N,B,MÉDIA
2690,DIAMANTE,S,S,S,2,VD,RUA_FAMOSA,25,935085,1,S,N,S,S,S,N,N,N,N,C,MÉDIA
2691,OURO,S,N,N,6,LJ,RUA_FAMOSA,11,768165,2,S,,N,S,S,N,N,N,S,D,ALTA
2692,PRATA,N,N,N,4,VD,BAIRRO,4,489983,3,S,,N,S,N,S,N,N,N,D,INEXISTENTE
2693,PRATA,N,S,N,2,BO,BAIRRO,7,519021,3,S,S,N,N,S,S,N,N,N,C,INEXISTENTE
2694,DIAMANTE,S,S,S,3,BO,RUA_FAMOSA,17,929775,1,S,N,S,S,S,N,S,N,S,B,ALTA
2695,PRATA,N,S,S,2,LJ,RUA_FAMOSA,9,505670,4,S,N,N,N,N,S,S,S,N,C,BAIXA
2696,OURO,S,N,N,2,BO,RUA_FAMOSA,7,645960,4,N,S,N,S,N,N,N,S,S,B,ALTA
2697,BRONZE,N,S,N,5,LJ,SHOPPING,14,102796,4,N,S,S,N,S,S,N,S,N,C,MÉDIA
2698,DIAMANTE,S,S,S,1,BO,SHOPPING,29,716177,1,S,N,S,S,S,S,N,S,S,A,ALTA
2699,BRONZE,N,S,N,2,LJ,SHOPPING,14,176955,4,S,,S,N,S,N,S,N,N,B,INEXISTENTE
2700,DIAMANTE,S,S,N,2,LJ,CENTRO,30,514094,1,S,N,S,S,S,N,S,N,N,A,ALTA
2701,DIAMANTE,S,S,S,2,LJ,SHOPPING,28,643012,1,N,N,S,S,S,N,N,S,N,A,BAIXA
2702,BRONZE,S,S,N,2,BO,RUA_FAMOSA,25,196169,4,S,S,S,S,S,S,S,S,N,B,MÉDIA
2703,BRONZE,N,N,N,1,BO,CENTRO,13,221655,4,N,,N,S,N,N,N,N,N,A,MÉDIA
2704,BRONZE,N,N,S,6,LJ,BAIRRO,15,266791,4,N,S,S,S,N,N,N,S,N,C,INEXISTENTE
2705,DIAMANTE,S,S,N,6,LJ,CENTRO,24,604048,1,N,,S,S,S,N,N,S,N,A,BAIXA
2706,PRATA,N,N,S,6,VD,RUA_FAMOSA,6,905200,3,N,S,N,S,S,S,N,S,N,D,INEXISTENTE
2707,PRATA,N,N,N,3,VD,BAIRRO,8,943597,3,S,N,N,N,N,N,S,S,N,C,ALTA
2708,PRATA,S,S,N,2,VD,BAIRRO,9,664919,4,N,N,N,S,S,N,S,N,N,C,INEXISTENTE
2709,PRATA,S,N,S,1,BO,RUA_FAMOSA,5,555535,3,S,N,N,N,S,S,S,N,N,B,INEXISTENTE
2710,PRATA,N,S,S,2,VD,RUA_FAMOSA,7,584931,3,S,S,N,N,N,S,S,S,N,C,BAIXA
2711,PRATA,N,N,N,3,BO,BAIRRO,7,766940,3,N,N,N,S,N,N,S,N,N,B,BAIXA
2712,BRONZE,S,N,S,2,LJ,CENTRO,15,171120,4,N,N,S,S,N,N,N,S,N,C,INEXISTENTE
2713,PRATA,S,N,N,3,BO,BAIRRO,5,550661,3,N,N,N,S,N,N,S,S,N,C,INEXISTENTE
2714,BRONZE,S,N,S,2,LJ,CENTRO,12,263824,4,N,N,S,S,N,N,S,N,N,D,BAIXA
2715,BRONZE,S,S,S,1,LJ,BAIRRO,17,111256,4,N,S,N,S,N,S,S,N,N,B,BAIXA
2716,DIAMANTE,S,S,S,5,BO,CENTRO,15,741985,1,S,S,S,S,S,S,S,N,S,C,ALTA
2717,OURO,S,N,S,3,BO,RUA_FAMOSA,14,749822,3,N,S,S,S,N,S,S,N,S,B,MÉDIA
2718,PRATA,S,S,N,6,LJ,BAIRRO,8,443930,3,N,S,N,S,S,S,S,S,N,A,INEXISTENTE
2719,PRATA,N,N,S,6,BO,BAIRRO,5,361697,3,N,S,N,S,N,S,S,N,N,A,INEXISTENTE
2720,DIAMANTE,S,S,S,2,LJ,CENTRO,30,675844,1,S,N,S,S,S,S,S,N,S,C,BAIXA
2721,OURO,S,S,N,2,VD,BAIRRO,8,352775,3,S,S,N,S,N,S,N,N,N,C,ALTA
2722,OURO,S,S,N,2,BO,CENTRO,13,517141,4,S,S,S,S,N,S,S,S,N,A,INEXISTENTE
2723,DIAMANTE,S,S,S,5,BO,RUA_FAMOSA,20,746595,1,S,N,S,S,S,S,N,S,S,A,MÉDIA
2724,PRATA,N,S,N,6,VD,RUA_FAMOSA,9,548995,4,N,S,N,N,N,S,N,S,N,D,MÉDIA
2725,PRATA,N,N,S,6,BO,BAIRRO,7,794113,4,N,N,N,N,N,N,N,N,N,C,BAIXA
2726,OURO,S,N,S,6,VD,RUA_FAMOSA,11,955709,3,N,N,N,S,S,S,N,N,S,B,MÉDIA
2727,PRATA,N,N,S,5,LJ,SHOPPING,8,367650,3,N,N,N,N,N,S,N,N,N,C,INEXISTENTE
2728,OURO,S,S,S,2,LJ,BAIRRO,8,735362,2,S,N,N,S,N,N,N,S,N,C,INEXISTENTE
2729,DIAMANTE,S,S,S,2,BO,CENTRO,27,561804,1,N,S,S,N,S,N,N,N,S,A,ALTA
2730,BRONZE,S,S,S,2,LJ,RUA_FAMOSA,23,176797,4,S,N,N,N,N,S,N,N,N,D,ALTA
2731,PRATA,N,S,N,4,BO,CENTRO,6,406463,4,N,N,N,N,S,N,S,S,N,D,INEXISTENTE
2732,PRATA,S,S,N,5,BO,CENTRO,9,666143,3,S,S,N,S,S,S,N,S,N,D,BAIXA
2733,BRONZE,S,S,N,6,LJ,RUA_FAMOSA,19,231587,4,N,N,S,N,S,N,S,N,N,B,INEXISTENTE
2734,DIAMANTE,S,S,N,1,LJ,BAIRRO,18,765260,1,S,N,S,N,S,N,S,N,S,A,BAIXA
2735,OURO,S,N,N,1,VD,RUA_FAMOSA,14,370405,2,S,S,S,S,N,S,N,S,N,A,ALTA
2736,OURO,S,N,S,4,LJ,RUA_FAMOSA,13,663057,3,N,S,N,S,N,S,S,S,S,C,INEXISTENTE
2737,DIAMANTE,S,S,S,3,VD,SHOPPING,19,908046,1,S,N,S,N,S,N,N,S,N,B,ALTA
2738,OURO,S,N,S,5,LJ,BAIRRO,12,855925,4,S,N,N,S,S,N,N,N,S,A,BAIXA
2739,PRATA,N,S,N,5,LJ,CENTRO,6,610815,3,N,N,N,S,S,N,S,N,N,D,BAIXA
2740,DIAMANTE,S,S,S,2,LJ,SHOPPING,28,748819,1,S,N,S,N,S,N,N,S,S,A,ALTA
2741,OURO,S,S,N,2,VD,CENTRO,15,661692,3,N,S,N,S,S,S,N,N,N,D,ALTA
2742,PRATA,S,N,S,3,BO,BAIRRO,4,630936,3,S,N,N,N,S,N,N,S,N,B,BAIXA
2743,PRATA,N,S,N,3,VD,BAIRRO,4,648747,3,S,S,N,N,N,N,S,S,N,A,INEXISTENTE
2744,PRATA,N,S,N,6,VD,RUA_FAMOSA,7,809010,4,N,S,N,N,N,S,S,N,N,C,ALTA
2745,BRONZE,N,N,N,1,LJ,RUA_FAMOSA,12,279247,4,N,N,N,S,N,S,S,S,N,D,ALTA
2746,PRATA,S,N,S,4,LJ,RUA_FAMOSA,9,492390,4,N,S,N,N,N,N,S,S,N,C,MÉDIA
2747,PRATA,S,S,N,2,LJ,BAIRRO,9,858021,4,N,S,N,S,S,S,N,N,N,A,INEXISTENTE
2748,PRATA,N,N,S,6,BO,CENTRO,4,658932,3,S,N,N,N,S,N,N,N,N,A,INEXISTENTE
2749,PRATA,S,S,N,1,BO,BAIRRO,5,918203,4,N,S,N,S,S,S,S,S,N,D,BAIXA
2750,OURO,S,S,N,6,BO,RUA_FAMOSA,12,878575,4,N,S,S,S,S,S,S,N,S,A,INEXISTENTE
2751,OURO,S,S,S,1,BO,SHOPPING,15,418930,3,S,N,N,S,N,S,S,N,N,C,MÉDIA
2752,PRATA,S,S,N,4,VD,CENTRO,5,385294,4,S,N,N,S,N,S,N,S,N,A,INEXISTENTE
2753,PRATA,S,S,N,3,LJ,RUA_FAMOSA,9,470867,3,N,N,N,S,N,N,S,N,N,D,BAIXA
2754,OURO,S,N,N,2,BO,BAIRRO,8,592993,3,S,N,S,S,N,N,N,S,N,C,INEXISTENTE
2755,PRATA,N,N,S,2,BO,BAIRRO,9,759178,4,N,S,N,S,N,N,S,S,N,C,INEXISTENTE
2756,BRONZE,N,N,S,2,VD,SHOPPING,20,119287,4,N,N,S,N,S,N,S,N,N,D,INEXISTENTE
2757,PRATA,N,S,N,2,VD,RUA_FAMOSA,7,910836,3,N,N,N,S,S,N,S,S,N,C,BAIXA
2758,BRONZE,N,S,N,2,BO,BAIRRO,23,233887,4,N,N,S,S,S,S,N,N,N,B,INEXISTENTE
2759,DIAMANTE,S,S,S,2,VD,RUA_FAMOSA,23,594319,1,S,N,S,N,S,N,S,N,S,A,BAIXA
2760,DIAMANTE,S,S,S,5,BO,CENTRO,21,685098,1,S,N,S,N,S,N,N,S,N,B,ALTA
2761,BRONZE,N,S,N,3,BO,RURAL,25,236222,4,S,S,S,S,S,S,S,N,N,C,MÉDIA
2762,PRATA,S,S,N,2,BO,BAIRRO,7,717238,3,N,N,N,N,N,N,S,S,N,D,BAIXA
2763,DIAMANTE,S,S,N,6,VD,CENTRO,18,710772,1,N,S,S,N,S,S,S,N,N,B,MÉDIA
2764,PRATA,N,S,N,2,VD,RUA_FAMOSA,6,426897,4,S,S,N,N,N,N,N,S,N,D,BAIXA
2765,BRONZE,S,S,N,2,BO,BAIRRO,24,187291,4,N,S,S,N,S,S,N,N,N,C,BAIXA
2766,DIAMANTE,S,S,S,1,LJ,BAIRRO,16,789692,1,S,S,S,N,S,N,S,S,N,C,ALTA
2767,BRONZE,S,S,N,4,LJ,BAIRRO,19,245098,4,N,N,S,S,N,S,N,N,N,B,MÉDIA
2768,DIAMANTE,S,S,S,2,VD,RURAL,13,983005,1,S,S,S,S,S,N,N,N,S,B,BAIXA
2769,PRATA,S,S,S,1,BO,SHOPPING,8,824024,4,N,N,N,S,N,S,S,N,N,D,INEXISTENTE
2770,DIAMANTE,S,S,S,1,VD,SHOPPING,10,856603,1,N,N,S,S,S,N,N,N,S,A,BAIXA
2771,BRONZE,S,S,N,5,LJ,BAIRRO,14,106151,4,S,S,N,N,N,N,N,S,N,D,INEXISTENTE
2772,BRONZE,S,N,S,2,BO,RURAL,21,198678,4,S,N,S,S,N,N,S,S,N,C,MÉDIA
2773,OURO,S,N,S,2,LJ,RUA_FAMOSA,13,791868,4,N,S,N,S,S,S,N,N,N,C,ALTA
2774,BRONZE,N,S,S,3,LJ,RURAL,19,182773,4,S,S,S,N,S,S,N,S,N,C,MÉDIA
2775,PRATA,S,N,N,2,LJ,CENTRO,7,841098,4,S,N,N,S,N,S,N,S,N,D,BAIXA
2776,OURO,S,S,S,1,BO,SHOPPING,16,673065,4,S,S,S,S,N,S,S,S,S,D,BAIXA
2777,OURO,S,S,S,1,BO,BAIRRO,11,809553,3,S,N,S,S,S,S,N,N,S,B,BAIXA
2778,OURO,S,S,S,2,VD,CENTRO,16,677615,4,S,N,S,S,S,S,N,S,S,C,BAIXA
2779,OURO,S,N,S,2,BO,RUA_FAMOSA,14,699199,2,S,S,S,S,N,S,N,S,S,D,MÉDIA
2780,BRONZE,S,N,N,1,BO,RURAL,16,175925,4,S,S,S,N,N,S,N,N,N,A,ALTA
2781,PRATA,S,N,S,5,VD,BAIRRO,6,905913,4,S,S,N,N,S,S,S,S,N,B,BAIXA
2782,DIAMANTE,S,S,N,1,LJ,SHOPPING,12,595668,1,N,N,S,N,S,N,N,N,N,A,ALTA
2783,DIAMANTE,S,S,N,2,VD,SHOPPING,25,538114,1,S,S,S,S,S,S,N,S,N,A,MÉDIA
2784,BRONZE,N,N,N,2,BO,BAIRRO,22,216309,4,S,N,S,S,S,S,N,N,N,C,INEXISTENTE
2785,DIAMANTE,S,S,N,5,LJ,SHOPPING,30,584789,1,N,S,S,S,S,S,N,S,S,A,ALTA
2786,DIAMANTE,S,S,N,4,BO,RUA_FAMOSA,12,687298,1,N,S,S,S,S,N,S,N,S,B,MÉDIA
2787,OURO,S,S,N,1,VD,CENTRO,7,372429,2,N,N,N,S,S,S,S,S,S,D,MÉDIA
2788,OURO,S,S,N,3,VD,CENTRO,15,998774,2,S,N,S,S,N,N,N,N,S,B,INEXISTENTE
2789,OURO,S,S,S,2,BO,SHOPPING,7,520150,4,S,S,S,S,N,N,S,S,S,A,ALTA
2790,DIAMANTE,S,S,N,4,BO,CENTRO,22,887713,1,S,S,S,N,S,S,S,N,N,A,MÉDIA
2791,PRATA,N,S,N,4,LJ,CENTRO,5,978829,4,S,N,N,N,S,S,N,S,N,D,INEXISTENTE
2792,OURO,S,S,S,2,VD,SHOPPING,15,919291,3,S,N,N,S,S,S,S,N,N,C,MÉDIA
2793,PRATA,N,S,N,4,VD,BAIRRO,9,788862,3,S,N,N,S,S,N,N,N,N,C,MÉDIA
2794,PRATA,N,S,N,2,LJ,CENTRO,5,654981,4,N,N,N,N,N,S,S,N,N,C,INEXISTENTE
2795,PRATA,N,N,N,6,BO,CENTRO,7,667953,4,S,N,N,N,S,N,N,N,N,D,INEXISTENTE
2796,OURO,S,N,N,2,LJ,CENTRO,13,986245,4,N,S,N,S,N,N,N,N,S,D,MÉDIA
2797,PRATA,N,N,N,4,VD,RUA_FAMOSA,5,657339,3,N,N,N,S,N,S,N,S,N,D,ALTA
2798,DIAMANTE,S,S,N,5,BO,SHOPPING,10,624787,1,N,S,S,N,S,N,N,S,N,A,MÉDIA
2799,DIAMANTE,S,S,N,5,BO,CENTRO,12,805265,1,N,N,S,N,S,N,S,S,S,C,ALTA
2800,OURO,S,S,N,6,VD,BAIRRO,16,600952,4,N,N,S,S,N,S,S,S,N,C,BAIXA
2801,PRATA,S,S,N,1,VD,BAIRRO,7,801526,4,S,N,N,S,S,S,S,S,N,D,INEXISTENTE
2802,PRATA,N,N,N,6,VD,RUA_FAMOSA,4,920888,3,N,S,N,N,N,N,N,N,N,C,INEXISTENTE
2803,BRONZE,N,N,N,2,LJ,RUA_FAMOSA,17,135789,4,N,N,S,S,N,N,S,N,N,B,ALTA
2804,OURO,S,S,N,3,VD,BAIRRO,16,533658,4,S,S,N,S,N,S,N,N,S,C,ALTA
2805,PRATA,S,S,S,3,LJ,CENTRO,4,819017,3,N,N,N,N,S,N,N,N,N,D,BAIXA
2806,OURO,S,S,N,4,LJ,RUA_FAMOSA,11,688212,2,S,S,S,S,S,N,N,N,N,B,INEXISTENTE
2807,BRONZE,S,N,N,3,BO,RURAL,17,131085,4,S,N,S,S,N,S,N,S,N,D,BAIXA
2808,OURO,S,N,S,6,LJ,BAIRRO,9,751188,2,N,S,N,S,N,N,N,S,N,A,BAIXA
2809,PRATA,S,N,N,1,BO,BAIRRO,4,511512,4,S,N,N,N,S,N,N,N,N,D,BAIXA
2810,BRONZE,N,N,N,6,LJ,BAIRRO,19,109021,4,N,S,N,S,N,N,S,N,N,B,INEXISTENTE
2811,BRONZE,S,N,S,6,VD,BAIRRO,14,135988,4,N,N,N,S,S,S,N,N,N,B,INEXISTENTE
2812,PRATA,N,N,S,6,BO,SHOPPING,7,527559,4,S,N,N,N,N,S,N,N,N,C,BAIXA
2813,PRATA,N,N,N,1,BO,RUA_FAMOSA,7,901133,4,S,N,N,N,N,S,S,S,N,D,INEXISTENTE
2814,OURO,S,S,S,2,BO,CENTRO,14,764256,2,N,S,S,S,S,S,S,N,N,A,MÉDIA
2815,OURO,S,S,S,3,VD,CENTRO,16,848767,2,S,S,S,S,N,S,N,S,S,A,INEXISTENTE
2816,PRATA,N,S,S,5,BO,CENTRO,6,520773,3,S,S,N,N,S,N,N,S,N,D,BAIXA
2817,PRATA,S,N,S,2,BO,CENTRO,4,801993,4,N,N,N,N,S,S,N,S,N,D,INEXISTENTE
2818,OURO,S,S,S,5,BO,BAIRRO,8,933988,4,N,S,N,S,N,S,S,S,N,A,BAIXA
2819,BRONZE,S,N,S,3,VD,SHOPPING,20,292049,4,N,S,S,S,N,N,N,N,N,D,BAIXA
2820,PRATA,S,S,N,5,BO,CENTRO,6,693104,4,S,S,N,N,N,S,N,N,N,C,INEXISTENTE
2821,PRATA,S,S,N,3,VD,CENTRO,5,858627,4,N,S,N,N,N,S,N,S,N,D,INEXISTENTE
2822,BRONZE,N,S,S,4,LJ,BAIRRO,16,283502,4,S,S,N,N,N,S,N,S,N,C,INEXISTENTE
2823,BRONZE,S,S,N,2,LJ,RUA_FAMOSA,22,241959,4,S,S,N,S,S,S,S,S,N,D,MÉDIA
2824,BRONZE,S,S,N,2,VD,RUA_FAMOSA,22,261010,4,N,N,N,S,N,S,N,N,N,C,BAIXA
2825,OURO,S,S,S,2,LJ,BAIRRO,14,925960,4,N,S,N,S,N,S,S,S,S,C,INEXISTENTE
2826,OURO,S,S,S,3,VD,CENTRO,9,606126,4,N,S,N,S,N,S,S,S,N,B,ALTA
2827,OURO,S,N,S,2,VD,RUA_FAMOSA,9,549434,3,N,N,S,S,S,S,S,N,S,D,ALTA
2828,BRONZE,N,S,N,2,BO,CENTRO,24,178489,4,N,N,S,S,S,S,N,N,N,B,ALTA
2829,BRONZE,S,S,S,3,BO,BAIRRO,14,210855,4,N,S,S,N,N,S,S,S,N,D,MÉDIA
2830,OURO,S,S,N,4,BO,SHOPPING,16,934588,4,S,N,S,S,S,S,N,N,N,B,MÉDIA
2831,PRATA,N,S,N,4,VD,RUA_FAMOSA,7,709962,4,N,N,N,N,S,S,N,S,N,D,ALTA
2832,BRONZE,N,S,S,2,LJ,BAIRRO,18,156820,4,N,S,S,N,N,S,N,S,N,C,INEXISTENTE
2833,OURO,S,S,N,4,LJ,CENTRO,10,694200,2,N,N,S,S,S,S,S,S,N,A,ALTA
2834,DIAMANTE,S,S,N,5,BO,SHOPPING,9,868566,1,S,S,S,S,S,N,S,S,N,A,BAIXA
2835,DIAMANTE,S,S,N,1,LJ,CENTRO,9,760146,1,N,S,S,N,S,S,N,S,N,A,MÉDIA
2836,OURO,S,N,N,2,VD,BAIRRO,16,697995,3,N,S,S,S,N,S,N,S,N,D,MÉDIA
2837,DIAMANTE,S,S,S,2,LJ,BAIRRO,29,714515,1,N,S,S,S,S,N,S,N,N,A,BAIXA
2838,PRATA,N,S,S,6,BO,BAIRRO,7,690401,3,S,S,N,S,N,S,S,N,N,C,INEXISTENTE
2839,BRONZE,N,N,S,3,BO,RUA_FAMOSA,14,246990,4,N,S,S,S,N,S,N,S,N,C,INEXISTENTE
2840,OURO,S,S,S,1,BO,BAIRRO,13,723688,3,N,S,N,S,S,N,N,S,S,B,MÉDIA
2841,DIAMANTE,S,S,N,6,VD,RURAL,9,501839,1,S,S,S,N,S,N,N,S,S,A,MÉDIA
2842,BRONZE,S,N,N,4,BO,RUA_FAMOSA,15,279794,4,S,S,S,N,S,N,N,S,N,B,MÉDIA
2843,OURO,S,S,S,3,BO,BAIRRO,9,806529,3,N,S,S,S,S,N,S,S,N,D,BAIXA
2844,BRONZE,N,N,N,2,BO,CENTRO,15,254357,4,N,S,S,N,S,S,S,S,N,D,BAIXA
2845,OURO,S,S,S,2,BO,CENTRO,11,801260,2,S,S,S,S,N,S,N,S,S,C,BAIXA
